Timestamp,Business_Num,Business_Name,Details
2024-12-15 21:58:15,1486543,염라대왕,성공적으로 메뉴 추출 완료
2024-12-15 21:59:07,1486545,"오늘,김치찌개",성공적으로 메뉴 추출 완료
2024-12-15 22:02:18,1486556,고모네족발,성공적으로 메뉴 추출 완료
2024-12-15 22:03:00,1486558,강변가든,성공적으로 메뉴 추출 완료
2024-12-15 22:03:27,1486559,구레미 식당,성공적으로 메뉴 추출 완료
2024-12-15 22:06:13,1486567,라라 케이터링,성공적으로 메뉴 추출 완료
2024-12-15 22:07:56,1486572,수부키,성공적으로 메뉴 추출 완료
2024-12-15 22:08:33,1486573,쌍둥이 분식,성공적으로 메뉴 추출 완료
2024-12-15 22:09:34,1486576,포케올데이 모란점,성공적으로 메뉴 추출 완료
2024-12-15 22:13:37,1486587,5.5닭갈비 갈마,성공적으로 메뉴 추출 완료
2024-12-15 22:18:02,1486601,고기좋다,성공적으로 메뉴 추출 완료
2024-12-15 22:19:44,1486606,우정소갈비 만석공원점,성공적으로 메뉴 추출 완료
2024-12-15 22:20:43,1486609,마레지노 파주점,성공적으로 메뉴 추출 완료
2024-12-15 22:22:03,1486613,진심삼계탕,성공적으로 메뉴 추출 완료
2024-12-15 22:22:34,1486614,크랩마켓 광안리점,성공적으로 메뉴 추출 완료
2024-12-15 22:23:05,1486615,미트러스(meatrus),성공적으로 메뉴 추출 완료
2024-12-15 22:31:28,1486643,1984 그 수육집 칼국수 가오점,성공적으로 메뉴 추출 완료
2024-12-15 22:31:59,1486644,일민라멘,성공적으로 메뉴 추출 완료
2024-12-15 22:37:58,1486665,포크로(Forkro),성공적으로 메뉴 추출 완료
2024-12-15 22:39:44,1486670,오리날아,성공적으로 메뉴 추출 완료
2024-12-15 22:42:25,1486679,멕시카나치킨소양점,성공적으로 메뉴 추출 완료
2024-12-15 22:43:30,1486681,떡기정,성공적으로 메뉴 추출 완료
2024-12-15 22:44:25,1486683,혜화어묵당 대관령점,성공적으로 메뉴 추출 완료
2024-12-15 22:46:03,1486689,한상차림 코다리명가 송도점,성공적으로 메뉴 추출 완료
2024-12-15 22:47:45,1486694,물미갤러리,성공적으로 메뉴 추출 완료
2024-12-15 22:55:18,1486716,일근이네,성공적으로 메뉴 추출 완료
2024-12-15 22:56:09,1486718,삼굽당,성공적으로 메뉴 추출 완료
2024-12-15 22:58:57,1486726,우차네 용문천년한과,성공적으로 메뉴 추출 완료
2024-12-15 22:59:25,1486727,매곡 고두부,성공적으로 메뉴 추출 완료
2024-12-15 23:02:34,1486736,정성카츠 계림점,성공적으로 메뉴 추출 완료
2024-12-15 23:04:38,1486741,프랭크버거(FRANK BURGER) 거제 장승포점,성공적으로 메뉴 추출 완료
2024-12-15 23:05:07,1486742,경원해물찜 장평점,성공적으로 메뉴 추출 완료
2024-12-15 23:06:25,1486746,하스펠(Haspell),성공적으로 메뉴 추출 완료
2024-12-15 23:06:52,1486747,카레주쿠,성공적으로 메뉴 추출 완료
2024-12-15 23:07:21,1486748,계혁명옛날통닭 북수원점,성공적으로 메뉴 추출 완료
2024-12-15 23:11:36,1486761,처갓집양념치킨 원미점,성공적으로 메뉴 추출 완료
2024-12-15 23:12:05,1486762,경성술집,성공적으로 메뉴 추출 완료
2024-12-15 23:14:41,1486771,속초초당순두부,성공적으로 메뉴 추출 완료
2024-12-15 23:15:21,1486773,조박이네 감자탕 순대국,성공적으로 메뉴 추출 완료
2024-12-15 23:20:52,1486791,벤티버거 대전관저도안점,성공적으로 메뉴 추출 완료
2024-12-15 23:21:18,1486792,꼬모 엘 마리옹,성공적으로 메뉴 추출 완료
2024-12-15 23:21:46,1486793,호포해담,성공적으로 메뉴 추출 완료
2024-12-15 23:22:12,1486794,피자는치즈빨 양산점,성공적으로 메뉴 추출 완료
2024-12-15 23:24:16,1486800,가장맛있는치킨쌍용점,성공적으로 메뉴 추출 완료
